Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
2	Friday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	38	Motorcycle over 500cc	Serious
2	Saturday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	50	Car	Slight
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	26	Car	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	22	Car	Slight
2	Friday	2	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	57	Pedal cycle	Slight
2	Friday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	59	Pedal cycle	Serious
1	Friday	4	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	53	Car	Serious
2	Friday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	22	Car	Slight
2	Saturday	4	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	20	Car	Slight
1	Saturday	4	A(M)	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	22	Car	Slight
1	Saturday	4	A(M)	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	26	Car	Slight
5	Sunday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	35	Car	Slight
5	Sunday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	21	Car	Slight
5	Sunday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Male	28	Car	Slight
2	Sunday	3	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	53	Motorcycle over 500cc	Slight
1	Sunday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Pedestrian	Female	18	Taxi/Private hire car	Slight
1	Sunday	1	A(M)	Wet / Damp	Darkness: no street lighting	Raining without high winds	Driver or rider	Female	47	Car	Slight
2	Sunday	2	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	30	Car	Slight
2	Sunday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Male	8	Car	Slight
2	Sunday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	39	Car	Slight
2	Sunday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	39	Car	Slight
1	Sunday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	42	Car	Slight
2	Monday	3	B	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	26	Pedal cycle	Slight
1	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	58	Motorcycle over 50cc and up to 125cc	Slight
2	Monday	2	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	29	Car	Slight
2	Monday	1	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	33	Taxi/Private hire car	Slight
2	Tuesday	3	B	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	43	Pedal cycle	Slight
1	Tuesday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	60	Car	Slight
2	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	52	Motorcycle over 500cc	Slight
1	Wednesday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	33	Car	Slight
2	Wednesday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	25	Pedal cycle	Slight
1	Wednesday	2	Unclassified	Wet / Damp	Darkness: street lighting unknown	Raining without high winds	Pedestrian	Female	49	Car	Slight
2	Wednesday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	39	Pedal cycle	Slight
2	Wednesday	1	B	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	27	Car	Slight
2	Wednesday	1	B	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	55	Car	Slight
2	Wednesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	72	Car	Slight
2	Wednesday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	36	Car	Slight
2	Wednesday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Male	38	Car	Slight
2	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	2	Car	Slight
2	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	28	Car	Slight
1	Thursday	2	Motorway	Wet / Damp	Daylight: street lights present	Fine with high winds	Driver or rider	Male	43	Goods vehicle 7.5 tonnes mgw and over	Slight
2	Thursday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	44	Car	Slight
1	Thursday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	81	Bus or coach (17 or more passenger seats)	Slight
3	Thursday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	45	Car	Slight
3	Thursday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	21	Car	Slight
2	Thursday	2	A	Dry	Darkness: no street lighting	Fine without high winds	Driver or rider	Female	34	Car	Slight
2	Thursday	4	A	Dry	Darkness: no street lighting	Fine without high winds	Driver or rider	Female	37	Car	Slight
1	Thursday	4	Unclassified	Wet / Damp	Darkness: no street lighting	Raining without high winds	Driver or rider	Male	26	Car	Slight
1	Friday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	78	Goods vehicle 7.5 tonnes mgw and over	Serious
2	Friday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	56	Motorcycle over 125cc and up to 500cc	Slight
1	Friday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	11	Car	Slight
2	Friday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	18	Car	Slight
2	Friday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	26	Car	Slight
2	Friday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	42	Car	Slight
2	Saturday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fog or mist – if hazard	Driver or rider	Male	45	Pedal cycle	Serious
2	Saturday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	25	Motorcycle over 50cc and up to 125cc	Slight
3	Saturday	4	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	54	Car	Slight
3	Saturday	4	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	55	Car	Slight
3	Saturday	1	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	31	Car	Slight
4	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	40	Car	Slight
4	Saturday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	15	Car	Slight
4	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	30	Car	Slight
2	Saturday	3	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	23	Car	Slight
2	Saturday	2	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	29	Car	Slight
1	Saturday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Female	60	Car	Serious
1	Saturday	1	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Female	47	Car	Slight
1	Saturday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	63	Car	Slight
4	Sunday	4	A	Wet / Damp	Daylight: street lights present	Fine with high winds	Driver or rider	Female	29	Car	Slight
4	Sunday	4	A	Wet / Damp	Daylight: street lights present	Fine with high winds	Vehicle or pillion passenger	Male	6	Car	Slight
2	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	80	Car	Slight
2	Monday	4	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	57	Motorcycle over 500cc	Slight
2	Monday	4	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	36	Pedal cycle	Serious
1	Monday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	49	Taxi/Private hire car	Slight
2	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	80	Car	Serious
4	Monday	2	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	60	Car	Slight
2	Monday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	29	Motorcycle over 50cc and up to 125cc	Slight
2	Tuesday	3	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	45	Pedal cycle	Serious
2	Tuesday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	50	Car	Slight
1	Thursday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	47	Car	Slight
2	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	54	Car	Slight
2	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	51	Pedal cycle	Serious
1	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	11	Car	Slight
3	Wednesday	1	Motorway	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	40	Car	Slight
