V_count,A_Day,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
2,Friday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,38,Motorcycle over 500cc,Serious
2,Saturday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,50,Car,Slight
2,Friday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,26,Car,Slight
2,Friday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,22,Car,Slight
2,Friday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,57,Pedal cycle,Slight
2,Friday,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,59,Pedal cycle,Serious
1,Friday,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Female,53,Car,Serious
2,Friday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Female,22,Car,Slight
2,Saturday,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,20,Car,Slight
1,Saturday,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,22,Car,Slight
1,Saturday,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Female,26,Car,Slight
5,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Male,35,Car,Slight
5,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Female,21,Car,Slight
5,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Male,28,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Male,53,Motorcycle over 500cc,Slight
1,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Female,18,Taxi/Private hire car,Slight
1,Sunday,A(M),Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Female,47,Car,Slight
2,Sunday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Female,30,Car,Slight
2,Sunday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Male,8,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,39,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Female,39,Car,Slight
1,Sunday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Male,42,Car,Slight
2,Monday,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,26,Pedal cycle,Slight
1,Monday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,58,Motorcycle over 50cc and up to 125cc,Slight
2,Monday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Female,29,Car,Slight
2,Monday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,33,Taxi/Private hire car,Slight
2,Tuesday,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,43,Pedal cycle,Slight
1,Tuesday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Male,60,Car,Slight
2,Wednesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,52,Motorcycle over 500cc,Slight
1,Wednesday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Male,33,Car,Slight
2,Wednesday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Male,25,Pedal cycle,Slight
1,Wednesday,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Pedestrian,Female,49,Car,Slight
2,Wednesday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,39,Pedal cycle,Slight
2,Wednesday,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,27,Car,Slight
2,Wednesday,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,55,Car,Slight
2,Wednesday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,72,Car,Slight
2,Wednesday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,36,Car,Slight
2,Wednesday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Male,38,Car,Slight
2,Thursday,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,2,Car,Slight
2,Thursday,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,28,Car,Slight
1,Thursday,Motorway,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Male,43,Goods vehicle 7.5 tonnes mgw and over,Slight
2,Thursday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Female,44,Car,Slight
1,Thursday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Female,81,Bus or coach (17 or more passenger seats),Slight
