,V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
0,2,0,3,0,0,3,1,1,1,38,9,0
1,2,2,1,4,0,3,1,1,0,50,1,1
2,2,0,2,4,0,4,1,1,1,26,1,1
3,2,0,4,4,0,4,1,4,0,22,1,1
4,2,0,2,0,3,4,1,1,1,57,12,1
5,2,0,2,0,0,4,1,1,1,59,12,0
6,1,0,4,3,3,4,1,1,0,53,1,0
7,2,0,2,4,3,3,5,4,0,22,1,1
8,2,2,4,3,3,4,1,4,0,20,1,1
9,1,2,4,1,3,3,5,1,1,22,1,1
10,1,2,4,1,3,3,5,4,0,26,1,1
11,5,3,4,4,3,4,5,1,1,35,1,1
12,5,3,1,4,3,4,5,4,0,21,1,1
13,5,3,1,4,3,4,5,4,1,28,1,1
14,2,3,3,4,3,4,5,1,1,53,9,1
15,1,3,4,4,3,4,5,3,0,18,13,1
16,1,3,1,1,3,1,5,1,0,47,1,1
17,2,3,2,0,3,3,5,1,0,30,1,1
18,2,3,4,0,3,3,5,4,1,8,1,1
19,2,3,1,4,3,3,5,1,1,39,1,1
20,2,3,3,4,3,3,5,4,0,39,1,1
21,1,3,3,4,3,3,1,3,1,42,1,1
22,2,1,3,2,3,3,5,1,1,26,12,1
23,1,1,3,4,0,4,1,1,1,58,10,1
24,2,1,2,0,3,3,5,1,0,29,1,1
25,2,1,1,0,3,3,5,1,1,33,13,1
26,2,5,3,2,3,3,5,1,1,43,12,1
27,1,5,3,4,3,4,1,3,1,60,1,1
28,2,6,2,4,0,4,1,1,1,52,9,1
29,1,6,2,4,0,3,1,3,1,33,1,1
30,2,6,2,4,3,4,5,1,1,25,12,1
31,1,6,2,4,3,2,5,3,0,49,1,1
32,2,6,4,4,0,3,1,1,1,39,12,1
33,2,6,1,2,3,4,1,1,1,27,1,1
34,2,6,1,2,3,4,1,4,0,55,1,1
35,2,6,1,4,3,4,1,1,1,72,1,1
36,2,6,3,4,3,3,5,1,1,36,1,1
37,2,6,4,4,3,3,5,4,1,38,1,1
38,2,4,4,0,0,4,1,4,0,2,1,1
39,2,4,4,0,0,4,1,4,0,28,1,1
40,1,4,2,3,3,4,0,1,1,43,3,1
