V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
1,1,2,0,0,2,1,3,1,66,1,0
4,0,4,3,0,4,1,4,0,50,1,1
2,3,3,4,0,4,1,0,1,63,9,0
2,0,4,0,0,1,1,4,1,47,1,1
2,4,2,0,0,4,1,4,1,5,1,1
1,4,2,0,0,3,1,1,1,45,1,1
2,5,2,4,0,4,1,4,1,13,1,1
3,2,1,4,3,3,5,0,1,49,13,0
2,2,3,0,3,4,6,1,1,33,12,1
2,3,4,2,0,4,1,3,1,37,1,0
2,4,1,0,0,4,8,1,1,44,1,1
1,0,1,4,0,4,8,3,0,13,1,1
2,1,4,0,0,4,1,0,1,32,10,0
1,5,4,4,0,4,8,4,0,27,13,1
2,0,3,4,0,3,1,4,0,67,13,1
2,3,4,4,0,4,1,1,0,37,1,1
2,1,4,4,3,3,5,1,0,35,1,1
1,3,2,4,0,2,8,3,0,28,1,1
2,4,3,4,0,4,1,1,1,23,1,1
2,6,1,0,0,4,8,1,0,24,12,1
2,0,2,3,0,4,1,4,0,16,1,1
3,2,4,3,3,4,1,1,0,54,1,1
1,3,4,0,0,4,8,3,0,23,13,1
4,0,4,3,0,4,1,1,1,76,1,1
1,0,1,4,0,4,1,3,0,13,1,0
3,4,3,4,0,3,1,1,0,45,1,1
1,0,3,4,1,3,1,1,0,17,5,1
1,2,3,4,0,3,8,3,0,46,13,1
1,2,2,4,0,4,1,3,1,51,13,1
1,4,4,2,0,4,1,4,0,20,0,1
2,0,2,2,3,3,5,1,0,31,1,1
2,0,2,0,0,4,1,1,1,52,9,1
2,2,1,0,3,4,1,1,1,28,1,1
1,1,4,0,0,4,1,3,0,21,12,1
1,4,2,0,1,4,1,0,1,24,8,0
2,3,1,0,0,4,8,1,1,41,1,1
1,5,4,4,0,4,1,3,0,25,1,1
1,6,3,2,0,3,1,4,0,17,1,1
1,0,2,4,0,3,1,4,0,22,0,1
4,2,3,4,0,4,1,1,1,30,1,1
1,6,1,4,3,4,1,3,1,38,1,1
2,2,4,0,0,4,8,1,0,41,12,0
2,6,4,4,0,3,8,1,0,40,12,1
2,5,4,4,0,3,1,1,1,53,12,0
2,1,4,4,0,4,1,1,1,40,1,1
5,1,1,4,3,3,1,4,0,21,1,0
1,4,2,4,0,4,1,3,1,75,1,0
1,1,1,4,0,4,1,4,0,45,0,1
2,3,2,0,0,4,1,1,1,45,12,0
1,2,2,4,3,3,1,3,1,19,13,0
1,2,4,4,0,4,1,3,1,56,1,1
2,4,4,0,0,4,1,1,0,29,1,1
2,3,3,3,0,3,1,4,0,27,1,1
2,3,1,4,0,2,1,0,1,42,12,0
3,3,1,4,0,4,1,4,1,8,1,1
2,3,1,0,3,4,1,1,1,66,1,0
1,4,2,4,0,4,1,3,0,32,1,1
